FIRE_NAME,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE
,1992,160.0,D,36.35710166,-94.96170028,OK
203029,1992,170.0,D,57.0659,-154.0857,AK
,1992,100.0,D,38.22194456,-93.05287054,MO
FORT,1992,125.0,D,35.0333,-114.6175,AZ
,1992,100.0,D,35.69870019,-114.24649825,AZ
,1992,230.0,D,38.23732656,-93.568174,MO
RANGE,1992,500.0,E,33.5834,-111.7007,AZ
,1992,100.0,D,38.18650686,-92.87114471,MO
,1992,103.0,D,38.18934,-92.94421559,MO
,1992,250.0,D,38.15280565,-92.46711519,MO
WINCHESTER BALDY,1992,123.0,D,43.27059,-123.31838,OR
BARTH,1992,2502.0,F,40.5832,-116.2842,NV
BOULDER,1992,911.0,E,40.9166,-116.5176,NV
ROBINSON,1992,125.0,D,40.3999,-115.8509,NV
CRANE SPR,1992,200.0,D,40.4666,-115.8509,NV
BLUFF CK,1992,2000.0,F,41.7666,-114.2509,NV
FRENCH FLT,1992,1757.0,F,40.4666,-116.3509,NV
WOODRUFF,1992,135.0,D,40.6166,-116.0676,NV
,1992,110.0,D,38.05024088,-92.89565489,MO
DIXIE CRK,1992,13202.0,G,40.6499,-115.9842,NV
IDAHO LINE,1992,5500.0,G,41.9832,-114.2175,NV
,1992,150.0,D,38.0590604,-93.2932115,MO
DAMELE,1992,200.0,D,40.3166,-116.3009,NV
,1992,113.0,D,38.06256958,-93.4045168,MO
,1992,517.0,E,38.13612481,-91.36223373,MO
,1992,100.0,D,37.98038222,-92.21367311,MO
WADE,1992,150.0,D,39.5332,-118.7843,NV
DIXIEVALI2,1992,300.0,E,39.7832,-118.0176,NV
CEMWNW73,1992,3130.0,F,65.9163,-147.6692,AK
BTT 3 48,1992,25600.0,G,66.1828,-152.386,AK
LA PALOMA                ,1992,4800.0,F,37.42611111,-120.36694444,CA
DRY CREEK                ,1992,1500.0,F,37.58694444,-120.41611111,CA
,1992,160.0,D,40.47774616,-94.3559404,MO
HORNITOS                 ,1992,630.0,E,37.45611111,-120.09305555,CA
,1992,120.0,D,40.26286015,-92.7531952,MO
,1992,150.0,D,39.94944299,-93.14165788,MO
AMADOR                   ,1992,105.0,D,36.91805555,-120.82805555,CA
232266,1992,3390.0,F,66.5161,-155.736,AK
TAL N 45,1992,550.0,E,65.9495,-151.8359,AK
,1992,125.0,D,39.66749835,-93.03728126,MO
CEM W 68,1992,100.0,D,65.7329,-147.4859,AK
231239,1992,930.0,E,64.4162,-150.5357,AK
,1992,1050.0,F,39.32101305,-91.01599646,MO
213225,1992,48087.0,G,62.6497,-141.1855,AK
,1992,120.0,D,38.88229776,-92.20169077,MO
204217,1992,185.0,D,61.8493,-156.369,AK
232193,1992,100.0,D,62.0826,-163.7357,AK
FAI S 27,1992,170.0,D,64.3662,-147.6857,AK
204075,1992,210.0,D,56.0325,-158.8353,AK
232035,1992,960.0,E,64.0329,-146.3523,AK
FBKS SW 66,1992,1410.0,F,64.0163,-146.3023,AK
FAIRVWPK,1992,800.0,E,39.1999,-118.1843,NV
CEM SW 50,1992,2840.0,F,65.3996,-146.6858,AK
DARKEST 2,1992,184.0,D,33.3334,-110.484,AZ
POINT,1992,100.0,D,33.1167,-110.084,AZ
,1992,115.0,D,33.0501,-111.5673,AZ
,1992,1000.0,F,33.2834,-111.9007,AZ
OLD YELLOW,1992,1150.0,F,33.15,-112.1507,AZ
BLACK,1992,200.0,D,33.25,-112.1443,AZ
DAYZIE,1992,500.0,E,33.3998,-112.2504,AZ
JETSON,1992,160.0,D,33.0667,-111.734,AZ
FORT FIRE,1992,125.0,D,34.0,-114.0008,AZ
NEEDLES,1992,140.0,D,34.8833,-114.6508,AZ
LOSTLAKE1,1992,250.0,D,34.0,-114.0008,AZ
DEERISLAND,1992,200.0,D,34.0,-114.0008,AZ
TRUJILLO,1992,150.0,D,36.0667,-106.0825,NM
CHINESE CAMP #1          ,1992,400.0,E,37.87888888,-120.44,CA
PG&E #11                 ,1992,675.0,E,37.80611111,-120.71,CA
PARADISE,1992,320.0,E,41.2332,-117.6843,NV
BUCKSKIN,1992,200.0,D,41.8166,-117.701,NV
BLUPLATEAU,1992,965.0,E,40.9332,-117.901,NV
HAPPYCREEK,1992,300.0,E,41.4832,-118.4177,NV
WILDER,1992,175.0,D,41.8999,-118.4343,NV
JUNGO,1992,1380.0,F,40.9499,-117.9176,NV
WMCAMTN,1992,250.0,D,41.0332,-117.7676,NV
THACKER,1992,100.0,D,41.6999,-118.0677,NV
GLOCONDA 2,1992,125.0,D,40.9999,-117.2843,NV
,1992,700.0,E,48.99031,-119.42142,WA
,1992,140.0,D,33.1001,-111.5173,AZ
DARKEST,1992,101.0,D,33.3501,-110.4673,AZ
,1992,100.0,D,33.1334,-111.834,AZ
OVERTON,1992,100.0,D,33.1167,-111.784,AZ
CHUICHU#6,1992,2106.0,F,32.7001,-111.7674,AZ
CHUICHU#4,1992,154.0,D,32.7001,-111.7674,AZ
CHUICHU#2,1992,235.0,D,32.7501,-111.8007,AZ
BARE FLAT,1992,241.0,D,42.38951,-120.77999,OR
,1992,100.0,D,38.04339163,-93.75580593,MO
,1992,175.0,D,38.04398411,-93.77416659,MO
,1992,225.0,D,38.01675817,-93.33238728,MO
MILLER,1992,320.0,E,38.3333,-114.2175,NV
,1992,240.0,D,38.01719921,-93.58809136,MO
,1992,153.0,D,38.03184954,-93.84783057,MO
SEAGLE,1992,130.0,D,39.8166,-114.5842,NV
HWY 26#1                 ,1992,250.0,D,38.09805555,-120.935,CA
SPARKS                   ,1992,300.0,E,38.08305555,-120.89805555,CA
PGE 10                   ,1992,200.0,D,38.14111111,-120.95305555,CA
COPPER                   ,1992,240.0,D,37.92388888,-120.66,CA
ORVIS                    ,1992,300.0,E,37.93694444,-120.76888888,CA
PALOMA                   ,1992,150.0,D,38.22888888,-120.80611111,CA
LIGHTNING #16            ,1992,300.0,E,37.70305555,-120.58111111,CA
BARNETT                  ,1992,375.0,E,37.68888888,-120.59888888,CA
CHINESE CAMP #2          ,1992,120.0,D,37.86194444,-120.45805555,CA
MORMON,1992,1043.0,F,36.9666,-114.4842,NV
MEADOW,1992,1067.0,F,37.2333,-114.6342,NV
ESTRELLA,1992,300.0,E,33.2667,-111.9965,AZ
,1992,130.0,D,33.1667,-111.7007,AZ
,1992,300.0,E,47.54903,-117.33899,WA
CEM NW 60,1992,500.0,E,65.8996,-147.0859,AK
MC CABE                  ,1992,275.0,D,37.12305555,-121.095,CA
GREAT RIFT,1992,9819.0,G,43.1332,-113.5842,ID
POTTER BTE,1992,19225.0,G,43.2332,-113.5675,ID
HOLLOW TOP,1992,1000.0,F,43.3163,-113.3575,ID
POWELL CRK,1992,2079.0,F,43.4207,-114.787,ID
,1992,530.0,E,34.35409955,-95.92849719,OK
,1992,1125.0,F,34.35409887,-95.96350114,OK
,1992,250.0,D,34.35409892,-95.99839797,OK
,1992,700.0,E,34.33959925,-95.80629729,OK
,1992,1050.0,F,34.33959998,-95.8237991,OK
,1992,1950.0,F,34.32510031,-95.91110218,OK
SYCAMORE  109-112        ,1992,150.0,D,36.97305555,-119.32194444,CA
SUNFLOWER                ,1992,100.0,D,35.84,-120.08388888,CA
FKU7395                  ,1992,160.0,D,36.64,-120.12305555,CA
,1992,150.0,D,34.3106001,-95.84120188,OK
,1992,140.0,D,34.29610084,-95.94599906,OK
BOYD                     ,1992,400.0,E,35.85388888,-120.03,CA
COYOTE,1992,120.0,D,47.55,-109.6841,MT
BRADLEY,1992,800.0,E,47.6342,-108.8607,MT
WATKINS,1992,1200.0,F,48.85,-108.0507,MT
OLD ANDERS,1992,1000.0,F,48.9834,-107.6173,MT
DESERTCOUL,1992,256.0,D,47.85,-107.184,MT
BLUE RIDGE,1992,120.0,D,47.7,-107.4673,MT
REGRASS,1992,705.0,E,47.5167,-107.784,MT
MORMAN RES,1992,100.0,D,43.2696,-114.9128,ID
SHERMAN,1992,240.0,D,47.35,-107.784,MT
RO,1992,25039.0,G,43.4499,-114.4175,ID
TURKEY,1992,145.0,D,43.1121,-114.6573,ID
,1992,140.0,D,34.39770103,-95.98090379,OK
,1992,208.0,D,33.9183,-78.495,NC
,1992,110.0,D,34.4983,-78.485,NC
,1992,100.0,D,34.595,-78.7083,NC
,1992,147.0,D,35.3183,-76.585,NC
,1992,426.0,E,34.595,-77.5783,NC
,1992,100.0,D,34.935,-77.515,NC
,1992,169.0,D,35.025,-77.7283,NC
,1992,130.0,D,35.2883,-77.4317,NC
CEDAR SPRINGS,1992,300.0,E,41.65345,-112.63673,UT
,1992,100.0,D,34.36859937,-95.98090346,OK
POLE CANYON,1992,3200.0,F,40.32688,-112.1298,UT
CLARK CANYON,1992,1000.0,F,40.97969,-111.25687,UT
ARROYO SECO              ,1992,300.0,E,36.25,-121.43111111,CA
HEARST # 2               ,1992,1200.0,F,35.81111111,-120.305,CA
ABOVE THIOKOL-PROMONTORY,1992,200.0,D,41.49623,-112.4803,UT
,1992,1130.0,F,34.35409968,-95.91110234,OK
FKU 4536                 ,1992,100.0,D,36.80111111,-119.58194444,CA
TOWNSENDGL,1992,176.0,D,43.4332,-114.2737,ID
GDG RD TWO,1992,1103.0,F,42.9499,-114.5509,ID
GDGRDTHREE,1992,773.0,E,42.9499,-114.5342,ID
SLAUGHTER,1992,180.0,D,43.4855,-114.2489,ID
LITTLECITY,1992,2720.0,F,43.1663,-114.6678,ID
BLACKRIDGE,1992,149250.0,G,43.0666,-113.9009,ID
CEM NW 42,1992,4530.0,F,65.7163,-146.5025,AK
LODGEPOLE,1992,1650.0,F,47.3333,-107.7507,MT
HAUGHIAN,1992,100.0,D,46.7,-105.7172,MT
MALONEY,1992,108.0,D,46.046241,-116.656603,ID
HOOVER POINT,1992,100.0,D,46.02083,-116.669709,ID
COYOTE CREEK,1992,615.0,E,46.464142,-116.629034,ID
LAPWAI CANYON,1992,207.0,D,46.400682,-116.822272,ID
CAMP HOWARD,1992,150.0,D,45.822898,-116.315509,ID
FYU E 75,1992,2870.0,F,66.483,-142.2859,AK
FYU E 58,1992,215.0,D,66.5997,-142.7859,AK
URRUTIA                  ,1992,300.0,E,36.96,-119.92,CA
